expression,label
ممكن خدمة؟,Neutral
ممكن المساعدة؟,Neutral
مش مفهوم,Negative
مش واضح,Negative
مش فاهم,Negative
رد غير واضح,Negative
هل أستطيع التحويل؟,Neutral
أسوأ تجربة,Negative
ارتحت بالتعامل,Positive
أفضل خدمة,Positive
هل الخدمة متوفرة؟,Neutral
أحتاج تفاصيل أكثر,Neutral
ما في رد,Negative
شكراً جزيلاً,Positive
الرد سريع,Positive
مشكلة مستمرة,Negative
ممتاز,Positive
زعلان جداً,Negative
تأخير غير مقبول,Negative
كم الحد الأدنى؟,Neutral
الخدمة ممتازة,Positive
تعامل راقٍ,Positive
ما هو رقم الحساب؟,Neutral
سعيد جداً,Positive
أريد معرفة الرصيد,Neutral
كيف أستلم البطاقة؟,Neutral
ما انحلت مشكلتي,Negative
أرغب بالاستفسار,Neutral
متى يفتح الفرع؟,Neutral
كل شيء تمام,Positive
خدمة سيئة,Negative
ما ساعدتوني,Negative
الموظف ما رد,Negative
أشكركم,Positive
جيد,Positive
رائع,Positive
حلو,Positive
الخدمة ممتازة,Positive
شكراً على المساعدة,Positive
تعامل راقي,Positive
سعيد بالخدمة,Positive
تم حل المشكلة بسرعة,Positive
الموظف متعاون,Positive
استجابة سريعة,Positive
تجربة ممتازة,Positive
الرد كان واضح,Positive
كل الاحترام للفريق,Positive
أشكركم على الدعم,Positive
أمور البنك مريحة,Positive
تعامل محترف,Positive
الخدمة كانت سلسة,Positive
الاستجابة فورية,Positive
المعاملة ممتازة,Positive
أشكر البنك,Positive
أداء ممتاز,Positive
دعم سريع,Positive
كل شيء تمام,Positive
الخدمة سيئة,Negative
ما حد رد علي,Negative
تجربة سيئة جداً,Negative
موظف غير متعاون,Negative
انتظار طويل,Negative
رد بطيء,Negative
ما انحلت مشكلتي,Negative
ما حدا ساعدني,Negative
ما استفدت من الخدمة,Negative
تجاهلوا طلبي,Negative
رد غير واضح,Negative
ما في دعم,Negative
أداء ضعيف,Negative
سوء في التعامل,Negative
المشكلة ما زالت مستمرة,Negative
ما في تواصل,Negative
ما التزمتوا بالمواعيد,Negative
انزعجت من الخدمة,Negative
ما في استجابة,Negative
رد سلبي,Negative
متى يفتح الفرع؟,Neutral
أريد معرفة رصيدي,Neutral
كم الحد الأدنى لفتح حساب؟,Neutral
هل أستطيع التحويل؟,Neutral
أحتاج تفاصيل عن القرض,Neutral
ما هو رقم الحساب؟,Neutral
كيف أستلم البطاقة؟,Neutral
هل الخدمة متوفرة الآن؟,Neutral
ما هي رسوم السحب؟,Neutral
هل يوجد صراف قريب؟,Neutral
متى يتم الإيداع؟,Neutral
هل أحتاج إلى موعد؟,Neutral
هل يمكن تحويل الراتب؟,Neutral
ما هي شروط فتح حساب؟,Neutral
أين الفرع الأقرب؟,Neutral
هل أستطيع تحديث بياناتي؟,Neutral
ما هو نوع الحساب المناسب؟,Neutral
هل متاح التحويل الدولي؟,Neutral
كم هي عمولة التحويل؟,Neutral
هل أستطيع استخدام التطبيق؟,Neutral
المعاملة كانت رائعة,Positive
أحببت طريقة الرد,Positive
الموظفة كانت لبقة,Positive
الخدمة كانت سريعة,Positive
كل شيء تم بمرونة,Positive
الخدمة الهاتفية ممتازة,Positive
استقبال رائع,Positive
تم حل مشكلتي فوراً,Positive
تعامل ممتاز من الموظف,Positive
أشعر بالرضا الكامل,Positive
أنصح بالتعامل مع البنك,Positive
دعم ممتاز,Positive
تطبيق البنك سهل ومريح,Positive
الموظف ساعدني كثيراً,Positive
الإجراءات كانت سهلة,Positive
المكالمة كانت مفيدة,Positive
خدمة العملاء فعالة,Positive
أداء متميز,Positive
أحببت التعامل مع البنك,Positive
رد محترف,Positive
الرد تم بسرعة,Positive
لم أواجه أي مشكلة,Positive
تجاوب سريع,Positive
الدعم الفني ممتاز,Positive
شرح وافي,Positive
معلومات دقيقة,Positive
الخدمة كانت فوق التوقعات,Positive
أداء راقٍ,Positive
